"Level/Niveau","Hierarchical structure","Structure hiérarchique","Code","Class title","Superscript","Titres de classes","Supérieurs","Class definition","Définitions de la classe"
1,"Sector","Secteur","11","Agriculture, forestry, fishing and hunting","","Agriculture, foresterie, pêche et chasse","","This sector comprises establishments primarily engaged in growing crops, raising animals, harvesting timber, harvesting fish and other animals from their natural habitats and providing related support activities.    Establishments primarily engaged in agricultural research or that supply veterinary services are not included in this sector.","Ce secteur comprend les établissements dont l'activité principale est la culture agricole, l'élevage, la récolte du bois, la prise de poissons et d'autres animaux dans leur habitat naturel et l'offre de services connexes de soutien.    Sont exclus de ce secteur les établissements dont l'activité principale est la recherche agricole ou les services vétérinaires."
2,"Subsector","Sous-secteur","111","Crop production","","Cultures agricoles","","This subsector comprises establishments, such as farms, orchards, groves, greenhouses and nurseries, primarily engaged in growing crops, plants, vines, trees and their seeds (excluding those engaged in forestry operations). Industries have been created taking into account input factors, such as suitable land, climatic conditions, type of equipment, and the amount and type of labour required. The production process is typically completed when the raw product or commodity grown reaches the farm gate for market, that is, at the point of first sale or price determination. Establishments in these industries may use traditional crop production methods, employ modified or improved crop inputs, or engage in organic crop production.    An establishment is classified within this subsector provided that fifty percent or more of the establishment's agricultural production consists of crops. Establishments with fifty percent or more crop production and with no one product or family of products accounting for fifty percent of the production are treated as combination crop farms and classified to 11199 All other crop farming, except if fifty percent or more of the production is a combination of oilseeds and grains, in which case they are classified to 11119 Other grain farming.","Ce sous-secteur comprend les établissements, tels les fermes, vergers, plantations, serres et pépinières, dont l'activité principale est la culture agricole, la culture de plantes, de plantes grimpantes, d'arbres et de leurs semences (à l'exception des établissements qui se consacrent à la foresterie). Les facteurs d'intrant, notamment la qualité des terres, les conditions climatiques, le type de matériel, la quantité et le type de main-d'oeuvre requis, ont été pris en considération dans la définition des classes. En règle générale, le processus de production arrive à terme lorsque le produit brut ou le produit cultivé est prêt à être mis sur le marché, c'est-à-dire lorsqu'il atteint le point de première vente ou de fixation des prix. Les établissements inclus dans ces classes peuvent utiliser des méthodes de cultures agricoles traditionnelles, employer des intrants agricoles modifiés ou améliorés, ou utiliser des méthodes de cultures agricoles biologiques.    Un établissement est rangé dans ce sous-secteur si 50 % ou plus de sa production agricole est constituée de cultures agricole. Les établissements dont 50 % ou plus des activités se rapportent aux cultures agricoles, mais pour qui aucun produit ou famille de produits ne représente 50 % de la production, sont considérés comme des fermes de culture mixte sont rangés dans la classe 11199. Toutes les autres cultures agricoles, sauf les établissements pour qui les plantes oléagineuses et les céréales constituent 50 % ou plus de la production; ces derniers se retrouvent à la rubrique 111190 Autres cultures céréalières."
3,"Industry group","Groupe","1111","Oilseed and grain farming","","Culture de plantes oléagineuses et de céréales","","This industry group comprises establishments primarily engaged in growing oilseeds and grains. Establishments primarily engaged in producing seeds are classified in the appropriate crop industry.","Ce groupe comprend les établissements dont l'activité principale est la culture de céréales et de plantes oléagineuses. Les établissements dont l'activité principale est la production de semences sont rangés dans la classe de la culture appropriée."
4,"Industry","Classe","11111","Soybean farming","","Culture du soja","","This industry comprises establishments primarily engaged in growing soybeans.","Cette classe comprend les établissements dont l'activité principale est la culture du soja."
5,"Canadian industry","Classe canadienne","111110","Soybean farming","","Culture du soja","","This Canadian industry comprises establishments primarily engaged in growing soybeans.","Cette classe canadienne comprend les établissements dont l'activité principale est la culture du soja."
4,"Industry","Classe","11112","Oilseed (except soybean) farming","","Culture de plantes oléagineuses (sauf le soja)","","This industry comprises establishments primarily engaged in growing fibrous plants that produce oilseeds.","Cette classe comprend les établissements dont l'activité principale est la culture de plantes fibreuses qui produisent des graines oléagineuses."
5,"Canadian industry","Classe canadienne","111120","Oilseed (except soybean) farming","US","Culture de plantes oléagineuses (sauf le soja)","ÉU","This Canadian industry comprises establishments primarily engaged in growing fibrous plants that produce oilseeds.","Cette classe canadienne comprend les établissements dont l'activité principale est la culture de plantes fibreuses qui produisent des graines oléagineuses."
4,"Industry","Classe","11113","Dry pea and bean farming","","Culture de pois et de haricots secs","","This industry comprises establishments primarily engaged in growing dry peas, beans and lentils.","Cette classe comprend les établissements dont l'activité principale est la culture de lentilles, de pois secs et de haricots secs."
5,"Canadian industry","Classe canadienne","111130","Dry pea and bean farming","US","Culture de pois et de haricots secs","ÉU","This Canadian industry comprises establishments primarily engaged in growing dry peas, beans and lentils.","Cette classe canadienne comprend les établissements dont l'activité principale est la culture de lentilles, de pois secs et de haricots secs."
4,"Industry","Classe","11114","Wheat farming","","Culture du blé","","This industry comprises establishments primarily engaged in growing wheat.","Cette classe comprend les établissements dont l'activité principale est la culture du blé."
5,"Canadian industry","Classe canadienne","111140","Wheat farming","","Culture du blé","","This Canadian industry comprises establishments primarily engaged in growing wheat.","Cette classe canadienne comprend les établissements dont l'activité principale est la culture du blé."
4,"Industry","Classe","11115","Corn farming","","Culture du maïs","","This industry comprises establishments primarily engaged in growing corn.","Cette classe comprend les établissements dont l'activité principale est la culture du maïs.     "
5,"Canadian industry","Classe canadienne","111150","Corn farming","US","Culture du maïs","ÉU","This Canadian industry comprises establishments primarily engaged in growing corn.","Cette classe canadienne comprend les établissements dont l'activité principale est la culture du maïs."
4,"Industry","Classe","11116","Rice farming","","Culture du riz","","This industry comprises establishments primarily engaged in growing rice, except wild rice.","Cette classe comprend les établissements dont l'activité principale est la culture du riz, sauf le riz sauvage."
5,"Canadian industry","Classe canadienne","111160","Rice farming","","Culture du riz","","This Canadian industry comprises establishments primarily engaged in growing rice, except wild rice.","Cette classe canadienne comprend les établissements dont l'activité principale est la culture du riz, sauf le riz sauvage."
4,"Industry","Classe","11119","Other grain farming","","Autres cultures céréalières","","This industry comprises establishments, not classified to any other industry, primarily engaged in growing grains. Farms primarily engaged in growing a combination of oilseeds and grains are also included.","Cette classe comprend les établissements qui ne figurent dans aucune autre classe et dont l'activité principale est la culture de céréales. Sont aussi comprises les fermes dont l'activité principale est la culture mixte de plantes oléagineuses et de céréales.    "
5,"Canadian industry","Classe canadienne","111190","Other grain farming","CAN","Autres cultures céréalières","CAN","This Canadian industry comprises establishments, not classified to any other Canadian industry, primarily engaged in growing grains. Farms primarily engaged in growing a combination of oilseeds and grains are also included.","Cette classe canadienne comprend les établissements qui ne figurent dans aucune autre classe canadienne et dont l'activité principale est la culture de céréales. Sont aussi comprises les fermes dont l'activité principale est la culture mixte de plantes oléagineuses et de céréales."
3,"Industry group","Groupe","1112","Vegetable and melon farming","","Culture de légumes et de melons","","This industry group comprises establishments primarily engaged in growing vegetables and melons. Establishments primarily engaged in producing vegetable and melon seeds and vegetable and melon bedding plants are also included in this industry.","Ce groupe comprend les établissements dont l'activité principale est la culture de légumes et de melons. Sont également compris dans cette classe les établissements dont l'activité principale est la production de semences potagères et de semences de melons ainsi que de légumes et melons à repiquer."
