Occupation(691),Total - Industry - North American Industry Classification System (NAICS) 2007,"11 Agriculture, forestry, fishing and hunting",111-112 Farms (111 to 112),1110 Farms (except aquaculture) (1111 to 1124 and 1129),1125 Aquaculture,113 Forestry and logging,1131 Timber tract operations,1132 Forest nurseries and gathering of forest products,1133 Logging,"114 Fishing, hunting and trapping",1141 Fishing,1142 Hunting and trapping,115 Support activities for agriculture and forestry,1150 Support activities for farms (1151 and 1152),1153 Support activities for forestry,"21 Mining, quarrying, and oil and gas extraction",211 Oil and gas extraction,2111 Oil and gas extraction,212 Mining and quarrying (except oil and gas),2121 Coal mining,2122 Metal ore mining,2123 Non-metallic mineral mining and quarrying,213 Support activities for mining and oil and gas extraction,2131 Support activities for mining and oil and gas extraction,22 Utilities,221 Utilities,"2211 Electric power generation, transmission and distribution",2212 Natural gas distribution,"2213 Water, sewage and other systems",23 Construction,236 Construction of buildings,2361 Residential building construction,2362 Non-residential building construction,237 Heavy and civil engineering construction,2371 Utility system construction,2372 Land subdivision,"2373 Highway, street and bridge construction",2379 Other heavy and civil engineering construction,238 Specialty trade contractors,"2381 Foundation, structure, and building exterior contractors",2382 Building equipment contractors,2383 Building finishing contractors,2389 Other specialty trade contractors,31-33 Manufacturing,311 Food manufacturing,3111 Animal food manufacturing,3112 Grain and oilseed milling,3113 Sugar and confectionery product manufacturing,3114 Fruit and vegetable preserving and specialty food manufacturing,3115 Dairy product manufacturing,3116 Meat product manufacturing,3117 Seafood product preparation and packaging,3118 Bakeries and tortilla manufacturing,3119 Other food manufacturing,312 Beverage and tobacco product manufacturing,3121 Beverage manufacturing,3122 Tobacco manufacturing,313 Textile mills,"3131 Fibre, yarn and thread mills",3132 Fabric mills,3133 Textile and fabric finishing and fabric coating,314 Textile product mills,3141 Textile furnishings mills,3149 Other textile product mills,315 Clothing manufacturing,3151 Clothing knitting mills,3152 Cut and sew clothing manufacturing,3159 Clothing accessories and other clothing manufacturing,316 Leather and allied product manufacturing,3161 Leather and hide tanning and finishing,3162 Footwear manufacturing,3169 Other leather and allied product manufacturing,321 Wood product manufacturing,3211 Sawmills and wood preservations,"3212 Veneer, plywood and engineered wood product manufacturing",3219 Other wood product manufacturing,322 Paper manufacturing,"3221 Pulp, paper and paperboard mills",3222 Converted paper product manufacturing,323 Printing and related support activities,3231 Printing and related support activities,324 Petroleum and coal product manufacturing,3241 Petroleum and coal product manufacturing,325 Chemical manufacturing,3251 Basic chemical manufacturing,"3252 Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing","3253 Pesticide, fertilizer and other agricultural chemical manufacturing",3254 Pharmaceutical and medicine manufacturing,"3255 Paint, coating and adhesive manufacturing","3256 Soap, cleaning compound and toilet preparation manufacturing",3259 Other chemical product manufacturing,326 Plastics and rubber products manufacturing,3261 Plastic product manufacturing,3262 Rubber product manufacturing,327 Non-metallic mineral product manufacturing,3271 Clay product and refractory manufacturing,3272 Glass and glass product manufacturing,3273 Cement and concrete product manufacturing,3274 Lime and gypsum product manufacturing,3279 Other non-metallic mineral product manufacturing,331 Primary metal manufacturing,3311 Iron and steel mills and ferro-alloy manufacturing,3312 Steel product manufacturing from purchased steel,3313 Alumina and aluminum production and processing,3314 Non-ferrous metal (except aluminum) production and processing,3315 Foundries,332 Fabricated metal product manufacturing,3321 Forging and stamping,3322 Cutlery and hand tool manufacturing,3323 Architectural and structural manufacturing,"3324 Boiler, tank and shipping container manufacturing",3325 Hardware manufacturing,3326 Spring and wire product manufacturing,"3327 Machine shops, turned product, and screw, nut and bolt manufacturing","3328 Coating, engraving, heat treating and allied activities",3329 Other fabricated metal product manufacturing,333 Machinery manufacturing,"3331 Agricultural, construction and mining machinery manufacturing",3332 Industrial machinery manufacturing,3333 Commercial and service industry machinery manufacturing,"3334 Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing",3335 Metalworking machinery manufacturing,"3336 Engine, turbine and power transmission equipment manufacturing",3339 Other general-purpose machinery manufacturing,334 Computer and electronic product manufacturing,3341 Computer and peripheral equipment manufacturing,3342 Communications equipment manufacturing,3343 Audio and video equipment manufacturing,3344 Semiconductor and other electronic component manufacturing,"3345 Navigational, measuring, medical and control instruments manufacturing",3346 Manufacturing and reproducing magnetic and optical media,"335 Electrical equipment, appliance and component manufacturing",3351 Electric lighting equipment manufacturing,3352 Household appliance manufacturing,3353 Electrical equipment manufacturing,3359 Other electrical equipment and component manufacturing,336 Transportation equipment manufacturing,3361 Motor vehicle manufacturing,3362 Motor vehicle body and trailer manufacturing,3363 Motor vehicle parts manufacturing,3364 Aerospace product and parts manufacturing,3365 Railroad rolling stock manufacturing,3366 Ship and boat building,3369 Other transportation equipment manufacturing,337 Furniture and related product manufacturing,3371 Household and institutional furniture and kitchen cabinet manufacturing,3372 Office furniture (including fixtures) manufacturing,3379 Other furniture-related product manufacturing,339 Miscellaneous manufacturing,3391 Medical equipment and supplies manufacturing,3399 Other miscellaneous manufacturing,41 Wholesale trade,411 Farm product wholesaler-distributors,4111 Farm product wholesaler-distributors,412 Petroleum product wholesaler-distributors,4121 Petroleum product wholesaler-distributors,"413 Food, beverage and tobacco wholesaler-distributors",4131 Food wholesaler-distributors,4132 Beverage wholesaler-distributors,4133 Cigarette and tobacco product wholesaler-distributors,414 Personal and household goods wholesaler-distributors,"4141 Textile, clothing and footwear wholesaler-distributors",4142 Home entertainment equipment and household appliance wholesaler-distributors,4143 Home furnishings wholesaler-distributors,4144 Personal goods wholesaler-distributors,"4145 Pharmaceuticals, toiletries, cosmetics and sundries wholesaler-distributors",415 Motor vehicle and parts wholesaler-distributors,4151 Motor vehicle wholesaler-distributors,4152 New motor vehicle parts and accessories wholesaler-distributors,4153 Used motor vehicle parts and accessories wholesaler-distributors,416 Building material and supplies wholesaler-distributors,"4161 Electrical, plumbing, heating and air-conditioning equipment and supplies wholesaler-distributors",4162 Metal service centres,"4163 Lumber, millwork, hardware and other building supplies wholesaler-distributors","417 Machinery, equipment and supplies wholesaler-distributors","4171 Farm, lawn and garden machinery and equipment wholesaler-distributors","4172 Construction, forestry, mining, and industrial machinery, equipment and supplies wholesaler-distributors",4173 Computer and communications equipment and supplies wholesaler-distributors,"4179 Other machinery, equipment and supplies wholesaler-distributors",418 Miscellaneous wholesaler-distributors,4181 Recyclable material wholesaler-distributors,"4182 Paper, paper product and disposable plastic product wholesaler-distributors",4183 Agricultural supplies wholesaler-distributors,4184 Chemical (except agricultural) and allied product wholesaler-distributors,4189 Other miscellaneous wholesaler-distributors,"419 Wholesale electronic markets, and agents and brokers","4191 Wholesale electronic markets, and agents and brokers",44-45 Retail trade,441 Motor vehicle and part dealers,4411 Automobile dealers,4412 Other motor vehicle dealers,"4413 Automotive parts, accessories and tire stores",442 Furniture and home furnishings stores,4421 Furniture stores,4422 Home furniture stores,443 Electronics and appliances stores,4431 Electronics and appliances stores,444 Building material and garden equipment and supplies dealers,4441 Building material and supplies dealers,4442 Lawn and garden equipment and supplies stores,445 Food and beverage stores,4451 Grocery stores,4452 Specialty food stores,"4453 Beer, wine and liquor stores",446 Health and personal care stores,4461 Health and personal care stores,447 Gasoline stations,4471 Gasoline stations,448 Clothing and clothing accessories stores,4481 Clothing stores,4482 Shoe stores,"4483 Jewellery, luggage and leather goods stores","451 Sporting goods, hobby, book and music stores","4511 Sporting goods, hobby and musical instrument stores","4512 Book, periodical and musical stores",452 General merchandise stores,4521 Department stores,4529 Other general merchandise stores,453 Miscellaneous store retailers,4531 Florists,"4532 Office supplies, stationery and gift stores",4533 Used merchandise stores,4539 Other miscellaneous store retailers,454 Non-store retailers,4541 Electronic shopping and mail-order houses,4542 Vending machine operators,4543 Direct selling establishments,48-49 Transportation and warehousing,481 Air transportation,4811 Scheduled air transportation,4812 Non-scheduled air transportation,482 Rail transportation,4821 Rail transportation,483 Water transportation,"4831 Deep sea, coastal and great lakes water transportation",4832 Inland water transportation,484 Truck transportation,4841 General freight trucking,4842 Specialized freight trucking,485 Transit and ground passenger transportation,4851 Urban transit systems,4852 Interurban and rural bus transportation,4853 Taxi and limousine service,4854 School and employee bus transportation,4855 Charter bus industry,4859 Other transit and ground passenger transportation,486 Pipeline transportation,4861 Pipeline transportation of crude oil,4862 Pipeline transportation of natural gas,4869 Other pipeline transportation,487 Scenic and sightseeing transportation,"4871 Scenic and sightseeing transportation, land","4872 Scenic and sightseeing transportation, water","4879 Scenic and sightseeing transportation, other"
Total - Occupation - National Occupational Classification (NOC) 2011,6297000,95220,85945,85685,260,3660,105,200,3350,680,575,105,4930,3030,1900,28190,1990,1990,19055,300,13460,5295,7145,7150,55215,55220,41720,7650,5840,382570,107820,85595,22220,31905,10635,2655,15665,2950,242840,47670,98540,69930,26705,657625,78000,3495,3685,5420,6505,9750,20685,590,19005,8870,11805,11150,655,3545,620,1620,1305,4005,1580,2430,8695,565,7090,1035,1100,140,520,435,16095,3835,2450,9810,20820,7205,13615,29880,29880,3980,3985,38865,6395,3280,690,13550,3750,6770,4425,42060,36330,5735,18390,1720,3355,8965,760,3590,28450,15835,4130,2245,1890,4345,62460,3920,2005,16910,4850,2575,1915,15735,5585,8970,50440,5940,5490,5765,5405,13740,2240,11865,45820,5500,18985,800,8175,11030,1340,15985,2320,1860,7395,4410,121765,42550,3495,57435,12535,2910,1195,1640,29805,16860,11130,1820,25665,7365,18295,291215,3485,3485,3280,3280,36275,31305,4230,740,46625,8505,4015,5270,10350,18485,19175,6550,11530,1095,45590,18640,7520,19435,90945,5175,19945,36320,29500,36005,6830,6005,4075,6015,13075,9835,9830,701305,67740,52295,4965,10480,27950,15180,12770,27790,27795,50095,45790,4305,166575,137630,16305,12640,59450,59455,14270,14270,79810,60760,9600,9450,30205,22955,7250,112800,64515,48285,44100,5255,14355,8305,16185,20510,4345,1285,14880,294020,20280,17575,2705,9680,9680,1005,850,150,82270,60335,21930,62350,21990,880,17355,18545,1800,1785,470,185,220,65,805,110,600,95
0 Management occupations,748910,43660,42580,42480,105,290,0,30,255,25,25,0,760,660,100,2825,225,225,1765,45,1240,480,835,835,6125,6125,4390,1180,555,49050,29680,23720,5960,3850,1095,720,1530,515,15515,2780,5225,4990,2520,67135,7410,485,345,490,680,1080,1435,55,1790,1065,2035,1930,100,360,20,175,165,610,165,440,950,60,740,155,125,0,60,50,1690,265,255,1170,1820,580,1240,3515,3515,425,425,4790,865,335,90,1620,525,670,685,4215,3585,630,2295,215,275,1030,145,630,1840,875,240,260,150,320,6425,285,170,1875,530,190,200,1515,515,1145,5755,515,755,695,610,1435,250,1495,6660,795,2995,155,905,1610,195,1910,335,310,700,555,7670,2090,260,3840,980,180,90,230,2765,1550,980,230,3880,735,3140,56335,575,575,665,670,6790,5705,980,100,9870,1910,1000,1010,2100,3860,3310,1285,1850,170,8140,3680,975,3480,17385,785,3875,6670,6055,7315,850,1155,815,1460,3025,2290,2290,123040,14780,11415,1235,2125,5970,3160,2810,5075,5080,7455,6775,675,26625,21325,3120,2180,7525,7525,2830,2830,16715,12220,2330,2160,6630,4995,1635,15965,8395,7575,10290,660,3430,1665,4530,3185,1230,230,1725,20120,1505,1265,240,635,635,75,75,0,5230,3385,1840,1755,780,45,225,535,55,105,50,30,20,0,130,15,100,0
00 Senior management occupations,78695,620,435,430,0,70,0,0,60,0,0,0,110,95,0,535,55,50,245,0,205,35,235,235,540,545,430,60,50,5105,1755,1295,460,705,170,215,230,85,2640,580,1100,640,320,8440,690,25,30,60,70,80,125,0,165,130,175,160,0,35,0,0,20,135,40,95,140,0,90,35,35,0,0,0,225,15,0,210,205,65,135,380,380,0,0,420,40,30,10,170,50,65,60,585,520,60,320,30,20,115,0,140,175,65,20,20,10,65,1270,65,0,320,75,25,35,420,145,170,1040,65,105,90,135,325,30,285,715,80,210,35,125,250,20,270,70,25,75,95,590,75,35,370,40,0,35,30,440,230,185,25,585,135,455,7955,55,55,115,120,845,765,75,0,1480,410,115,170,325,460,360,110,230,15,1180,540,230,405,2265,45,690,665,865,1175,185,190,70,210,525,485,485,4085,555,365,95,95,235,135,105,380,380,340,285,60,460,320,95,45,295,290,120,120,490,335,55,100,250,215,35,290,120,170,340,0,105,35,195,330,165,25,140,2365,110,75,35,0,0,15,15,0,875,575,300,200,45,0,60,90,0,0,0,0,0,0,0,0,0,0
001 Legislators and senior management,78695,615,440,430,0,65,0,0,55,0,0,0,105,100,0,535,55,55,245,0,205,40,235,240,545,545,430,65,55,5105,1755,1300,460,705,170,215,230,90,2640,580,1100,635,325,8445,690,25,30,55,75,80,125,0,165,130,170,160,0,35,0,0,15,140,45,95,140,0,90,35,30,0,0,0,225,15,0,205,200,65,135,380,380,0,0,420,40,30,10,170,50,65,60,580,520,65,315,35,20,115,0,140,180,65,20,20,10,60,1270,70,0,320,80,25,35,420,145,165,1040,65,105,90,135,325,30,285,715,80,210,35,125,245,15,265,70,25,75,90,590,70,35,370,45,0,35,30,440,230,185,25,585,130,450,7955,55,55,120,115,850,765,75,0,1480,410,115,170,325,460,355,110,230,15,1180,545,225,410,2260,45,690,665,865,1175,185,190,70,210,525,485,480,4085,560,365,95,95,235,130,105,380,380,340,285,60,460,315,95,45,295,295,120,115,490,335,55,100,250,215,35,290,115,170,340,0,105,35,195,330,165,25,140,2370,110,70,35,0,0,15,15,0,875,575,305,200,45,0,60,85,0,0,0,0,0,0,0,0,0,0
0011 Legislators,1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0012 Senior government managers and officials,6110,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0013 Senior managers - financial, communications and other business services",24365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0014 Senior managers - health, education, social and community services and membership organizations",9255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0015 Senior managers - trade, broadcasting and other services, n.e.c.",18045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7940,55,60,115,115,845,760,75,0,1475,405,115,170,325,460,360,115,230,15,1180,545,230,410,2255,45,690,665,855,1175,180,190,65,210,520,480,480,4080,555,365,95,95,235,130,105,380,380,340,285,55,460,315,95,45,290,295,120,120,485,335,55,95,250,215,35,290,115,175,335,0,105,30,195,330,160,25,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0016 Senior managers - construction, transportation, production and utilities",19010,600,425,425,0,65,0,0,55,0,0,0,110,95,0,530,55,55,245,0,205,40,235,235,535,535,420,65,50,5080,1750,1290,460,705,165,215,235,85,2625,560,1100,640,325,8440,690,25,35,55,70,80,125,0,165,130,175,160,0,35,0,0,15,140,40,95,140,0,90,35,35,0,0,0,225,15,0,210,200,65,140,380,385,0,0,420,40,30,10,170,50,65,55,585,520,60,320,30,20,115,0,140,175,65,20,25,10,65,1275,65,0,320,75,25,35,420,145,170,1035,65,105,85,135,325,30,285,715,80,210,35,120,245,15,270,70,30,75,90,595,75,35,370,45,0,35,35,440,225,185,30,585,135,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2315,110,70,35,0,0,15,15,0,875,575,295,205,45,0,55,90,0,0,0,0,0,0,0,0,0,0
